[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.003744s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.003844s ]
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ route_check ] --START--
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | INFO: Run CheckRoute Behavior [ RunTime:0.001605s ]
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001743s ]
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ app_begin ] --START--
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001568s ]
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001670s ]
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.008830s ]
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000461s ]
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.008112s ]
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | SQL: SELECT COUNT(id) AS num, `year_month` FROM my_article  GROUP BY `year_month` ORDER BY `year_month` DESC [ RunTime:0.000422s ]
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_template ] --START--
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | INFO: Run LocationTemplate Behavior [ RunTime:0.001361s ]
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001454s ]
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_parse ] --START--
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | INFO: Run ParseTemplate Behavior [ RunTime:0.021089s ]
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021200s ]
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_filter ] --START--
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | INFO: Run ContentReplace Behavior [ RunTime:0.000930s ]
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | INFO: Run TokenBuild Behavior [ RunTime:0.000913s ]
[ 2012-06-11T00:05:41+08:00 ] /me/diary/content.html?id=1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000741s ]
