[ 2012-08-21T22:51:25+08:00 ] /message/ | SQL: SELECT c.id AS cid, pid, `comment`, c.create_time AS createtime, username,realname, avatar FROM my_comment AS c, my_user AS u
    			WHERE(article_id='10000' and pid='42' AND c.userid = u.id) order by createtime desc [ RunTime:0.000420s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | NOTIC: [8] Undefined index: Sada_username MessageAction.class.php 第 114 行.
[ 2012-08-21T22:51:25+08:00 ] /message/ | NOTIC: [8] Undefined index: Sada_username MessageAction.class.php 第 118 行.
[ 2012-08-21T22:51:25+08:00 ] /message/ | SQL: SELECT c.id AS cid, pid, `comment`, c.create_time AS createtime, username,realname, avatar FROM my_comment AS c, my_user AS u
    			WHERE(article_id='10000' and pid='44' AND c.userid = u.id) order by createtime desc [ RunTime:0.000385s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | NOTIC: [8] Undefined index: Sada_username MessageAction.class.php 第 114 行.
[ 2012-08-21T22:51:25+08:00 ] /message/ | NOTIC: [8] Undefined index: Sada_username MessageAction.class.php 第 118 行.
[ 2012-08-21T22:51:25+08:00 ] /message/ | SQL: SELECT c.id AS cid, pid, `comment`, c.create_time AS createtime, username,realname, avatar FROM my_comment AS c, my_user AS u
    			WHERE(article_id='10000' and pid='45' AND c.userid = u.id) order by createtime desc [ RunTime:0.000365s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | NOTIC: [8] Undefined index: Sada_username MessageAction.class.php 第 114 行.
[ 2012-08-21T22:51:25+08:00 ] /message/ | NOTIC: [8] Undefined index: Sada_username MessageAction.class.php 第 118 行.
[ 2012-08-21T22:51:25+08:00 ] /message/ | SQL: SELECT c.id AS cid, pid, `comment`, c.create_time AS createtime, username,realname, avatar FROM my_comment AS c, my_user AS u
    			WHERE(article_id='10000' and pid='46' AND c.userid = u.id) order by createtime desc [ RunTime:0.000349s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | INFO: Tag[ view_template ] --START--
[ 2012-08-21T22:51:25+08:00 ] /message/ | INFO: Run LocationTemplate Behavior [ RunTime:0.003600s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003716s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-21T22:51:25+08:00 ] /message/ | INFO: Run ParseTemplate Behavior [ RunTime:0.052842s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.052968s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-21T22:51:25+08:00 ] /message/ | INFO: Run ContentReplace Behavior [ RunTime:0.002280s ]
